Slag #,Club,Behaalde Slagen,Vlucht Afst. Range (m),Platte Vlucht Afst. Range (m),Vlucht Afst. Premium (m),Platte Vlucht Afst. Premium (m),Totale Afst. Range (m),Platte Totale Afst. Range (m),Totale Afst. Premium (m),Platte Totale Afst. Premium (m),Apex (m),Apex (m) Premium,Balsnelheid (km/u),Balsnelheid (km/u) Premium,Lanceerrichting,Lanceerhoek,Lanceerhoek (graden) Premium,Vanaf het midden (m),Bocht,Afst. tot hole (m),Target (m)
1,?,-,98.0,98.0,101.0,100.0,103.0,102.0,105.0,105.0,20,21,135,138,-,25°,26°,-,4R,-,-
2,?,-,130.0,129.0,137.0,137.0,159.0,158.0,166.0,166.0,11,12,142,147,-,18°,19°,-,1L,-,-
3,?,-,81.0,81.0,83.0,82.0,109.0,109.0,110.0,110.0,8,8,126,129,-,17°,18°,-,2L,-,-
4,?,-,34.0,33.0,34.0,33.0,75.0,74.0,75.0,74.0,1,1,140,144,-,5°,5°,-,1L,-,-
5,?,-,43.0,43.0,43.0,43.0,77.0,77.0,77.0,77.0,2,2,149,154,-,7°,7°,-,1R,-,-
6,?,-,102.0,102.0,105.0,105.0,127.0,127.0,130.0,130.0,11,11,142,147,-,16°,17°,-,1R,-,-
7,?,-,65.0,65.0,66.0,65.0,97.0,97.0,98.0,98.0,4,4,131,134,-,12°,13°,-,3L,-,-
8,?,-,114.0,114.0,119.0,118.0,127.0,127.0,132.0,132.0,16,17,149,153,-,17°,18°,-,3R,-,-
9,?,-,26.0,26.0,26.0,26.0,63.0,63.0,63.0,63.0,1,1,128,132,-,4°,4°,-,1R,-,-
10,?,-,34.0,34.0,34.0,34.0,86.0,85.0,86.0,85.0,0,0,143,147,-,3°,3°,-,1L,-,-
11,?,-,107.0,107.0,111.0,110.0,133.0,133.0,137.0,137.0,11,11,145,150,-,15°,17°,-,2R,-,-
12,?,-,102.0,101.0,105.0,104.0,132.0,132.0,135.0,135.0,10,10,152,157,-,13°,14°,-,3L,-,-
13,?,-,55.0,54.0,55.0,54.0,90.0,89.0,90.0,90.0,3,3,128,131,-,10°,12°,-,2L,-,-
14,?,-,89.0,89.0,91.0,90.0,127.0,127.0,129.0,128.0,6,6,164,170,-,9°,10°,-,4L,-,-
15,?,-,114.0,114.0,118.0,118.0,148.0,148.0,153.0,153.0,8,9,198,205,-,9°,10°,-,4L,-,-
16,?,-,29.0,29.0,29.0,29.0,54.0,54.0,54.0,54.0,3,3,69,69,-,26°,28°,-,0,-,-
17,?,-,27.0,26.0,27.0,26.0,50.0,50.0,50.0,50.0,3,3,50,50,-,32°,33°,-,0,-,-
18,?,-,74.0,74.0,75.0,74.0,121.0,121.0,122.0,122.0,3,3,149,154,-,5°,6°,-,1L,-,-
